9,9,8
9,9,8
9,9,8
9,9,8
10,9,8
10,9,8
10,9,8
10,10,8
10,10,8
10,10,9
10,10,9
10,10,9
11,10,9
11,10,9
11,10,9
11,11,10
13,12,12
15,14,14
17,16,16
20,18,19
25,23,24
30,28,29
37,35,36
45,42,44
54,50,52
64,60,62
76,71,73
90,84,86
104,98,98
118,110,110
133,124,123
147,137,134
156,145,142
161,150,146
167,155,150
171,159,153
176,163,157
182,168,161
183,168,161
187,174,165
192,177,168
196,180,170
198,181,170
201,185,175
203,187,176
204,189,177
206,190,178
207,190,178
